region_code,weather_param,year, key, value
UK,Tmax,1910,Jan,5.4
UK,Tmax,1910,Feb,6.8
UK,Tmax,1910,March,9.1
UK,Tmax,1910,Apr,9.8
UK,Tmax,1910,May,14.4
UK,Tmax,1910,June,17.7
UK,Tmax,1910,July,17.0
UK,Tmax,1910,Aug,17.7
UK,Tmax,1910,Sep,15.6
UK,Tmax,1910,Oct,12.8
UK,Tmax,1910,Nov,5.9
UK,Tmax,1910,Dec,7.7
UK,Tmax,1910,Win,N/A
UK,Tmax,1911,Jan,5.9
UK,Tmax,1911,Feb,6.8
UK,Tmax,1911,March,7.2
UK,Tmax,1911,Apr,10.3
UK,Tmax,1911,May,16.4
UK,Tmax,1911,June,17.8
UK,Tmax,1911,July,21.4
UK,Tmax,1911,Aug,21.2
UK,Tmax,1911,Sep,17.3
UK,Tmax,1911,Oct,11.8
UK,Tmax,1911,Nov,7.8
UK,Tmax,1911,Dec,7.7
UK,Tmax,1911,Win,6.79
UK,Tmax,1912,Jan,5.3
UK,Tmax,1912,Feb,7.0
UK,Tmax,1912,March,9.2
UK,Tmax,1912,Apr,12.6
UK,Tmax,1912,May,14.8
UK,Tmax,1912,June,16.3
UK,Tmax,1912,July,18.4
UK,Tmax,1912,Aug,15.2
UK,Tmax,1912,Sep,13.9
UK,Tmax,1912,Oct,11.5
UK,Tmax,1912,Nov,8.0
UK,Tmax,1912,Dec,8.2
UK,Tmax,1912,Win,6.66
UK,Tmax,1913,Jan,5.9
UK,Tmax,1913,Feb,7.0
UK,Tmax,1913,March,8.2
UK,Tmax,1913,Apr,10.5
UK,Tmax,1913,May,14.3
UK,Tmax,1913,June,17.1
UK,Tmax,1913,July,17.6
UK,Tmax,1913,Aug,18.6
UK,Tmax,1913,Sep,16.5
UK,Tmax,1913,Oct,13.2
UK,Tmax,1913,Nov,10.2
UK,Tmax,1913,Dec,6.6
UK,Tmax,1913,Win,7.04
UK,Tmax,1914,Jan,5.4
UK,Tmax,1914,Feb,8.6
UK,Tmax,1914,March,8.2
UK,Tmax,1914,Apr,13.5
UK,Tmax,1914,May,13.8
UK,Tmax,1914,June,17.9
UK,Tmax,1914,July,18.8
UK,Tmax,1914,Aug,19.3
UK,Tmax,1914,Sep,16.8
UK,Tmax,1914,Oct,12.9
UK,Tmax,1914,Nov,8.9
UK,Tmax,1914,Dec,6.1
UK,Tmax,1914,Win,6.81
UK,Tmax,1915,Jan,5.3
UK,Tmax,1915,Feb,6.1
UK,Tmax,1915,March,7.7
UK,Tmax,1915,Apr,11.0
UK,Tmax,1915,May,14.3
UK,Tmax,1915,June,18.0
UK,Tmax,1915,July,17.5
UK,Tmax,1915,Aug,18.1
UK,Tmax,1915,Sep,16.6
UK,Tmax,1915,Oct,11.9
UK,Tmax,1915,Nov,5.8
UK,Tmax,1915,Dec,6.5
UK,Tmax,1915,Win,5.83
UK,Tmax,1916,Jan,9.0
UK,Tmax,1916,Feb,5.5
UK,Tmax,1916,March,5.1
UK,Tmax,1916,Apr,11.3
UK,Tmax,1916,May,14.3
UK,Tmax,1916,June,14.6
UK,Tmax,1916,July,18.1
UK,Tmax,1916,Aug,19.3
UK,Tmax,1916,Sep,15.7
UK,Tmax,1916,Oct,12.6
UK,Tmax,1916,Nov,8.8
UK,Tmax,1916,Dec,4.6
UK,Tmax,1916,Win,7.04
UK,Tmax,1917,Jan,2.9
UK,Tmax,1917,Feb,4.0
UK,Tmax,1917,March,5.8
UK,Tmax,1917,Apr,8.3
UK,Tmax,1917,May,15.7
UK,Tmax,1917,June,18.0
UK,Tmax,1917,July,19.4
UK,Tmax,1917,Aug,17.9
UK,Tmax,1917,Sep,16.5
UK,Tmax,1917,Oct,10.2
UK,Tmax,1917,Nov,9.7
UK,Tmax,1917,Dec,4.7
UK,Tmax,1917,Win,3.82
UK,Tmax,1918,Jan,5.5
UK,Tmax,1918,Feb,8.0
UK,Tmax,1918,March,8.6
UK,Tmax,1918,Apr,9.8
UK,Tmax,1918,May,16.1
UK,Tmax,1918,June,16.8
UK,Tmax,1918,July,18.5
UK,Tmax,1918,Aug,18.6
UK,Tmax,1918,Sep,14.0
UK,Tmax,1918,Oct,11.5
UK,Tmax,1918,Nov,8.1
UK,Tmax,1918,Dec,8.2
UK,Tmax,1918,Win,6.01
UK,Tmax,1919,Jan,4.8
UK,Tmax,1919,Feb,3.9
UK,Tmax,1919,March,5.8
UK,Tmax,1919,Apr,10.1
UK,Tmax,1919,May,16.8
UK,Tmax,1919,June,17.1
UK,Tmax,1919,July,17.2
UK,Tmax,1919,Aug,18.7
UK,Tmax,1919,Sep,15.9
UK,Tmax,1919,Oct,11.0
UK,Tmax,1919,Nov,5.1
UK,Tmax,1919,Dec,6.9
UK,Tmax,1919,Win,5.67
UK,Tmax,1920,Jan,6.8
UK,Tmax,1920,Feb,8.2
UK,Tmax,1920,March,9.4
UK,Tmax,1920,Apr,10.1
UK,Tmax,1920,May,14.6
UK,Tmax,1920,June,17.5
UK,Tmax,1920,July,16.5
UK,Tmax,1920,Aug,16.4
UK,Tmax,1920,Sep,15.8
UK,Tmax,1920,Oct,13.4
UK,Tmax,1920,Nov,9.5
UK,Tmax,1920,Dec,6.1
